libId,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,SAMPLE,LIBRARY,READ_GROUP,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,SAMPLE,LIBRARY,READ_GROUP,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,LIBRARY,UNPAIRED_READS_EXAMINED,READ_PAIRS_EXAMINED,UNMAPPED_READS,UNPAIRED_READ_DUPLICATES,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,PERCENT_DUPLICATION,ESTIMATED_LIBRARY_SIZE,mapped_reads_w_dups
lib1473_D27JJACXX,UNPAIRED,14499664,14499664,1,0,14499664,1,682600424,12931407,613610983,607817750,0,0.008353,0.004052,0.000046,49.711752,0,0,0,0.499935,0,0,,,,720803708,720779807,2823763,317224222,315564661,57710417,27456986,0,4367994,4282351,0.003918,0.440113,0.43781,0.080067,0.038093,0.877923,0.877893,0.50495,0.465346,0.524365,0.660248,0.71882,,,,15288063,14499667,94.8%,1568258,10.8%,1079612,707712,0,0,6303037,Unknown Library,14499664,0,0,6851475,0,0,0.472526,,0.948430
lib1476_D27JJACXX,UNPAIRED,9297687,9297687,1,0,9297687,1,434490391,8080502,380135802,376689581,0,0.007649,0.00441,0.000047,49.7299,0,0,0,0.499963,0,0,,,,462373046,462357308,3572684,195148347,210919593,35769530,16947466,0,2778087,2721273,0.007727,0.422073,0.456183,0.077363,0.036654,0.878256,0.878226,0.505166,0.531045,0.426361,0.659487,0.627803,,,,9936856,9297690,93.6%,1217186,13.1%,666786,500695,0,0,4441743,Unknown Library,9297687,0,0,4609490,0,0,0.495767,,0.935677
lib1477_D27JJACXX,UNPAIRED,11670368,11670368,1,0,11670368,1,539979480,10084861,469846233,465683011,0,0.007685,0.00474,0.00005,49.735739,0,0,0,0.499652,0,0,,,,580434373,580413800,7072497,243375404,277898677,32427200,19640595,0,3575937,3495058,0.012185,0.419314,0.478794,0.055869,0.033839,0.898108,0.898076,0.505719,0.5303,0.423492,0.652606,0.587015,,,,12425771,11670371,93.9%,1585508,13.6%,563163,578429,0,0,5717975,Unknown Library,11670368,0,0,6688088,0,0,0.573083,,0.939207
lib1478_D27JJACXX,UNPAIRED,9983632,9983632,1,0,9983632,1,467626978,8740216,411992003,408369803,0,0.007091,0.004436,0.000045,49.757543,0,0,0,0.500119,0,0,,,,496761000,496745538,3741910,206294905,235397380,34462751,16848915,0,3071327,2988228,0.007533,0.415293,0.473879,0.069377,0.033919,0.889172,0.889144,0.506857,0.526564,0.419174,0.647926,0.597281,,,,10575629,9983635,94.4%,1243417,12.5%,638605,482993,0,0,4474112,Unknown Library,9983632,0,0,5082946,0,0,0.509128,,0.944023
lib1480_D27JJACXX,UNPAIRED,12034245,12034245,1,0,12034245,1,561283062,10390350,487523069,483288307,0,0.006678,0.004395,0.000048,49.747765,0,0,0,0.499402,0,0,,,,598676796,598656301,3956151,243336668,296138164,35962091,19263539,0,3768522,3587749,0.006608,0.406471,0.494671,0.060071,0.032178,0.901143,0.901112,0.512287,0.568914,0.385745,0.660912,0.538922,,,,12968522,12034248,92.8%,1643896,13.7%,639638,609981,0,0,5765689,Unknown Library,12034245,0,0,7424792,0,0,0.616972,,0.927958
lib1488_D26PLACXX,UNPAIRED,9563916,9563916,1,0,9563916,1,447607457,8499038,400477482,396327547,0,0.008013,0.004436,0.000038,49.584776,0,0,0,0.499795,0,0,,,,474224634,474211225,2130517,210234043,202891004,40558361,18397475,0,2915023,2872128,0.004493,0.443334,0.427849,0.085528,0.038796,0.871184,0.871159,0.503706,0.470501,0.513107,0.673276,0.728042,,,,10215952,9563919,93.6%,1064879,11.1%,790530,434550,0,0,4153570,Unknown Library,9563916,0,0,4292061,0,0,0.448777,,0.936175
lib1490_D26PLACXX,UNPAIRED,13617150,13617150,1,0,13617150,1,628170947,11843549,551391414,543267464,0,0.012194,0.007226,0.000045,49.670941,0,0,0,0.500391,0,0,,,,676376658,676355416,6456979,274796347,305875119,59107163,30120378,0,4111576,3921339,0.009547,0.40629,0.45224,0.087391,0.044533,0.85853,0.858503,0.511841,0.536358,0.410143,0.660031,0.576166,,,,14807391,13617153,92.0%,1773602,13.0%,1093694,621502,0,0,7090994,Unknown Library,13617150,0,0,9222411,0,0,0.677264,,0.919618
lib1493_D26PLACXX,UNPAIRED,11104601,11104601,1,0,11104601,1,513426325,9516395,444521337,437843099,0,0.013707,0.007395,0.000039,49.622723,0,0,0,0.499952,0,0,,,,551040544,551024970,4789099,243556337,234874560,42320366,25485022,0,3336493,3305748,0.008691,0.442006,0.42625,0.076803,0.04625,0.868256,0.868232,0.502314,0.472264,0.519301,0.656298,0.73664,,,,11911388,11104604,93.2%,1588207,14.3%,738291,530595,0,0,6639996,Unknown Library,11104601,0,0,5120961,0,0,0.461157,,0.932268
lib1495_D26PLACXX,UNPAIRED,10344058,10344058,1,0,10344058,1,487917494,8999948,427266555,420656680,0,0.010276,0.006701,0.000036,49.598357,0,0,0,0.500392,0,0,,,,513048286,513035154,1041918,249347151,220526644,25319639,16800093,0,3269525,3258414,0.002031,0.486024,0.429847,0.049353,0.032746,0.915871,0.915847,0.500851,0.462807,0.554995,0.647805,0.799883,,,,11038105,10344061,93.7%,1344111,13.0%,439589,544865,0,0,5091849,Unknown Library,10344058,0,0,4312126,0,0,0.41687,,0.937123
lib1497_D26PLACXX,UNPAIRED,13413351,13413351,1,0,13413351,1,612946269,11740164,541929948,536295428,0,0.010147,0.005351,0.000058,49.572147,0,0,0,0.499573,0,0,,,,664928608,664905332,10031861,265151079,295745025,64026575,29951656,0,3893833,3824988,0.015088,0.39878,0.444793,0.096294,0.045046,0.843573,0.843543,0.50446,0.5067,0.45615,0.653317,0.649405,,,,14403915,13413354,93.1%,1673188,12.5%,1199690,597956,0,0,6682009,Unknown Library,13413351,0,0,7234024,0,0,0.539315,,0.931230
