"Symbol","ensgene","entrez","CV","BCV","AveLogCPM","TrendCV"
"HS3ST1","ENSG00000002587",9957,0.36921502985377,0.0731555977036489,3.69344150123903,0.0836480003852502
"ZMYND10","ENSG00000004838",51364,0.460786992104035,0.0688189281808792,1.41732268796949,0.042110802392993
"PRKAR2B","ENSG00000005249",5577,0.353010257638697,0.0115656416498111,1.13327595424338,0.0269415548626588
"ITGA3","ENSG00000005884",3675,0.39170979245303,0.12731505405524,3.41623234288111,0.0905719343018328
"TMEM132A","ENSG00000006118",54972,0.450186633174394,0.139815984992576,1.6717834481115,0.0554427540085501
"TTC22","ENSG00000006555",55001,0.311984183895575,0.0741942215732686,2.51395817753104,0.0896863483789513
"CDKL3","ENSG00000006837",51265,0.336388909416126,0.186210931531497,1.93964006055108,0.0685121656657291
"CDKL5","ENSG00000008086",6792,0.363241764566417,0.0915148027026331,1.93966581555637,0.0685133508840478
"NFIX","ENSG00000008441",4784,0.301604733165771,0.135259323988035,2.50855675452937,0.0895477524817127
"MMP25","ENSG00000008516",64386,0.315676039873621,0.0995572102686027,1.84873314314427,0.0642334442084248
"STAB1","ENSG00000010327",23166,0.568382924586105,0.407964815125861,1.78886764341193,0.0613207325465995
"CD4","ENSG00000010610",920,0.353498586013514,0.196328401915911,1.96734483823002,0.069777669052853
"MKS1","ENSG00000011143",54903,0.408340116483245,0.287141535479034,2.10580277623774,0.0757935910298721
"PLAUR","ENSG00000011422",5329,0.429117906482358,0.299575136668707,2.66013862407641,0.0928948581576288
"TYROBP","ENSG00000011600",7305,0.479988021742112,0.35325776805849,2.56480975587338,0.0909229470655593
"SEMA3B","ENSG00000012171",7869,0.396077425938737,0.00432797308107004,1.2770843898555,0.0346237846485603
NA,"ENSG00000017621",NA,0.332548661728954,0.0124327325414481,1.2071181471715,0.030886196159632
"WWTR1","ENSG00000018408",25937,0.338126799398688,0.019099527523853,1.39738415491451,0.0410481066644287
"PLEKHB1","ENSG00000021300",58473,0.372602189159205,0.0900852180243809,2.62818482834398,0.0922857365272141
"FHL1","ENSG00000022267",2273,0.330556614244185,0.0630463032413103,3.18843210837634,0.094429387007708
"GLRX2","ENSG00000023572",51022,0.434884076470468,0.134986232029973,2.0601566913692,0.0738704995907848
"RTEL1-TNFRSF6B","ENSG00000026036",NA,0.328847315541813,0.196603921653088,3.05117545853344,0.0956040952315807
"PRKCH","ENSG00000027075",5583,0.437372240934425,0.212522246581109,2.73827586159855,0.0941542013765486
"SH2D2A","ENSG00000027869",9047,0.300735925142605,0.00393886337657799,1.21881249802827,0.0315109070126239
"CENPQ","ENSG00000031691",55166,0.350768779103235,0.082723822393943,1.87142685961709,0.0653187136049475
"DAPK2","ENSG00000035664",23604,0.309950361858092,0.111966928152568,2.53957085268196,0.0903247393452626
"TUBG2","ENSG00000037042",27175,0.326509796097904,0.0100800002025578,2.22867120302135,0.0806400016204622
"VCAN","ENSG00000038427",1462,0.424732194321854,0.347121678624654,3.56033331286784,0.087200300007379
"TNFRSF17","ENSG00000048462",608,0.393649527449813,0.199611336421196,2.90772058109345,0.095685038383411
"FOXP3","ENSG00000049768",50943,0.385634271468408,0.0552609010980075,1.42840857183606,0.0427010838427199
"POLQ","ENSG00000051341",10721,0.386689132222573,0.143167186821836,1.93937680142682,0.0685000498343971
"THOC3","ENSG00000051596",84321,0.315666808039748,0.17539811522406,2.7260397462931,0.0939790885459773
"KCNH2","ENSG00000055118",3757,0.336269849616435,0.0817041707197194,2.37310854000336,0.0856415907420824
"ITIH4","ENSG00000055955",3700,0.322681755404802,0.0577960385167359,1.90254350756477,0.0667886573809918
"C4orf27","ENSG00000056050",54969,0.422906915305135,0.122802578310557,2.16341940793782,0.0781287261013446
"IL17RB","ENSG00000056736",55540,0.364990440434704,0.00592050141989065,1.51638684175384,0.0473640113591252
"DCBLD2","ENSG00000057019",131566,0.495754712146625,0.0330732040344495,1.84175454600212,0.0638975516742847
"DGKG","ENSG00000058866",1608,0.458360781569786,0.270379553481441,2.17125706633308,0.0784380427137457
"TBXAS1","ENSG00000059377",6916,0.348444158985712,0.229988257053428,3.37039218289366,0.09151045022124
"GNA15","ENSG00000060558",2769,0.421510348362022,0.0926094525144893,2.74909801595469,0.0943020934492947
"BCAT1","ENSG00000060982",586,0.362131193159372,0.203145744007271,2.52481915450877,0.0899608669607293
"ISOC2","ENSG00000063241",79763,0.34544308239224,0.107783687137728,3.01500053132473,0.0957422755258856
"FAR2","ENSG00000064763",55711,0.491197939461278,0.170065497854447,1.58346495439673,0.0508820059577387
"CHI3L2","ENSG00000064886",1117,0.404212925148959,0.25925737899527,2.73272303157807,0.0940757688393106
"NTN1","ENSG00000065320",9423,0.448133319959973,0.101116784586486,1.57377259999867,0.05037620375416
"PDIA5","ENSG00000065485",10954,0.36311764896061,0.128686650498727,2.17395838218941,0.0785441759466567
"TLE2","ENSG00000065717",7089,0.335335048085194,0.0507613836725001,1.77274871605573,0.0605249388369501
"ASPM","ENSG00000066279",259266,0.371133867773341,0.214813279079064,2.56524254543947,0.0909329339777813
"NEO1","ENSG00000067141",4756,0.322945654670324,0.0611622211099059,1.79433306353229,0.0615894922058754
"CACNB1","ENSG00000067191",782,0.335569229097338,0.063017831849908,1.69790185118991,0.0567723968760064
"PFN2","ENSG00000070087",5217,0.349677236570155,0.00971986074452788,2.15411511751143,0.077758885956223
"ACTN1","ENSG00000072110",87,0.493520071101318,0.131195496740753,1.27698604688848,0.0346185311787808
"LNX1","ENSG00000072201",84708,0.305099507318064,0.00714794618153133,1.70601790407414,0.0571835694522506
"CYP2W1","ENSG00000073067",54905,0.400227691424406,0.108254280789318,1.75695966604696,0.0597409910787606
"FNDC8","ENSG00000073598",54752,0.321796830313598,0.00834984127350944,1.90275832856671,0.0667987301880755
"PTGS2","ENSG00000073756",5743,0.565921540224205,0.432629055045279,1.74060804237916,0.0589246469365375
"TXK","ENSG00000074966",7294,0.357907156643421,0.0174441667348322,1.77109559140959,0.0604430621579065
"NAALAD2","ENSG00000077616",10003,0.351580403043618,0.188409189854265,2.17598157872334,0.0786235058341896
"TP73","ENSG00000078900",7161,0.381221507793712,0.0104185353743562,2.30397578246597,0.0833482829948498
"UBE2D4","ENSG00000078967",51619,0.307911962484851,0.141269580748383,2.60833641887081,0.0918807504514709
"LXN","ENSG00000079257",56925,0.44439122007196,0.071588801405442,1.49690290562175,0.0463353537042146
"DDX43","ENSG00000080007",55510,0.309058642060382,0.00658290069416738,1.6177474710045,0.052663205553339
"CDC14B","ENSG00000081377",8555,0.370212266864829,0.00985448379034379,2.18141504396671,0.0788358703227503
"BCKDHB","ENSG00000083123",594,0.338560159195447,0.160002187619187,3.22203660867902,0.0939978832928584
"FCN1","ENSG00000085265",2219,0.466386383337192,0.370603647387934,4.00260098779824,0.0746503211238954
"ZNF213","ENSG00000085644",7760,0.323160955430269,0.189111947375727,3.03517963675395,0.0956745553589341
"FAT2","ENSG00000086570",2196,0.449427171377548,0.0272499559650626,1.17011435422769,0.0289094578748835
"GNA11","ENSG00000088256",2767,0.321189580341873,0.102055000203681,2.00945026918912,0.0716634188179248
"TPX2","ENSG00000088325",22974,0.343121690267901,0.117764949520826,1.85900215842903,0.06472587857699
